Program:,Program link:,County:,Savings (electricity consumption reduction in kwh):,MEA contribution:,Total project cost:,Location 1
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Prince George's,1.36,779.95,1943.00,"Cheverly, MD 207851107
(38.918879999812305, -76.88183999981601)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Talbot,5.49,3059.21,7843.27,"Oxford, MD 216541423
(38.68540999997168, -76.14127000001037)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Montgomery,3.399,1799.25,4855.03,"Silver Spring, MD 209011511
(39.01626999976082, -77.00851000013625)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Montgomery,1.232,590.16,1760.00,"Gaithersburg, MD 208782447
(39.11773000033941, -77.2342899996836)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Montgomery,7.912,3100.00,11302.45,"Bethesda, MD 208142342
(38.99424999963793, -77.09904999985747)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Montgomery,2.685,1302.72,3836.32,"Potomac, MD 208543042
(39.03795000039236, -77.19766000030859)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Montgomery,4.933,2566.55,7047.30,"Silver Spring, MD 209061671
(39.08385999963946, -77.06319999958015)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Prince George's,1.761,908.50,2516.00,"University Park, MD 207821129
(38.9645499996829, -76.96469999970509)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Montgomery,2.29,1209.84,3271.00,"Silver Spring, MD 209011602
(39.01626999976082, -77.00851000013625)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Montgomery,1.214,566.85,1733.86,"Rockville, MD 208522849
(39.050589999628926, -77.12018000030662)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Montgomery,3.388,1759.00,4840.00,"Silver Spring, MD 209105440
(38.99797000031543, -77.03293000031908)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Howard,1.991,946.65,2844.00,"Ellicott City, MD 210425847
(39.27335999976435, -76.8619699999154)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Prince George's,1.414,722.83,2019.50,"District Heights, MD 207473326
(38.85313999981133, -76.88883999976605)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Baltimore City,6.286,3100.00,8980.00,"Baltimore, MD 212142335
(39.352089999853774, -76.56387999956218)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Montgomery,2.871,1535.52,4101.50,"Kensington, MD 208954229
(39.02898999998865, -77.07798999993838)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Prince George's,2.632,1330.91,3759.90,"Suitland, MD 207463723
(38.8381100000766, -76.92019000026812)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Washington,2.065,1032.50,2950.00,"Hagerstown, MD 217422460
(39.66122999986476, -77.68641000032113)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Montgomery,4.331,2230.44,6187.00,"Garrett Park, MD 208961538
(39.035669999570985, -77.09360000033956)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Anne Arundel,2.075,1023.65,2964.00,"Annapolis, MD 214016735
(38.983799999770326, -76.52959999974007)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Montgomery,2.204,1062.04,3148.65,"Boyds, MD 208414010
(39.18732079122168, -77.32649249962901)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Calvert,0.977,588.25,1395.00,"North Beach, MD 207143031
(38.70995999985428, -76.53677000033508)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Prince George's,2.252,1066.00,3217.00,"Beltsville, MD 207052923
(39.04627999962247, -76.91894000018073)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Worcester,1.196,663.15,1709.00,"Berlin, MD 218111908
(38.34031000000664, -75.18628999978353)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Anne Arundel,4.025,1862.50,5750.00,"Glen Burnie, MD 210613449
(39.15671999972835, -76.62921000044099)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Montgomery,1.75,975.00,2500.00,"Rockville, MD 208532653
(39.09251000013654, -77.09383999971607)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Wicomico,2.598,1364.20,3712.00,"Salisbury, MD 218011819
(38.35645030633674, -75.64324000012573)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Anne Arundel,2.205,1202.50,3150.00,"Annapolis, MD 214016504
(38.983799999770326, -76.52959999974007)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Montgomery,3.604,1901.00,5148.00,"Silver Spring, MD 209065905
(39.08385999963946, -77.06319999958015)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Carroll,2.196,1092.95,3137.00,"Westminster, MD 211577420
(39.55741999973338, -76.98679999991992)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Baltimore City,6.647,3100.00,9495.00,"Baltimore, MD 212305213
(39.25483231445992, -76.62224999963763)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Montgomery,2.112,1156.10,3017.45,"Kensington, MD 208951714
(39.02898999998865, -77.07798999993838)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Montgomery,4.515,2292.73,6449.45,"Rockville, MD 208501904
(39.09460000028997, -77.17314999957267)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Montgomery,4.93,1587.50,7043.00,"Montgomery Village, MD 208861313
(39.17500000005015, -77.1960800002916)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Frederick,1.709,905.35,2441.00,"Mount Airy, MD 217714602
(39.38336000026396, -77.15472999998934)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Worcester,1.372,751.00,1960.00,"Ocean Pines, MD 218111257
(38.34031000000664, -75.18628999978353)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Montgomery,3.899,2049.30,5569.45,"Chevy Chase, MD 208153880
(38.97726999991073, -77.0824299996446)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Howard,1.543,713.90,2204.00,"Columbia, MD 210454044
(39.20683000020449, -76.82763000002433)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Howard,1.529,794.40,2184.00,"Glenwood, MD 217389430
(39.27975000036241, -77.021290000433)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Montgomery,1.931,948.15,2759.00,"Bethesda, MD 208144606
(38.99424999963793, -77.09904999985747)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Prince George's,0.977,553.00,1396.00,"District Heights, MD 207471841
(38.85313999981133, -76.88883999976605)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Anne Arundel,1.081,640.54,1544.40,"Millersville, MD 211081928
(39.10140999957201, -76.62140000000983)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Montgomery,2.996,1563.00,4280.00,"Darnestown, MD 208782121
(39.11773000033941, -77.2342899996836)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Baltimore,8.975,3100.00,12822.00,"Catonsville, MD 212284818
(39.2773199998183, -76.73769999965509)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Montgomery,2.336,1146.38,3336.94,"Bethesda, MD 208141739
(38.99424999963793, -77.09904999985747)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Montgomery,2.135,1167.50,3050.00,"Silver Spring, MD 209064051
(39.08385999963946, -77.06319999958015)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Montgomery,2.167,860.38,3095.38,"Derwood, MD 208552636
(39.13114999957298, -77.14598999983849)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Montgomery,2.377,1153.89,3395.90,"Silver Spring, MD 209023049
(39.040070000130584, -77.04648000015175)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Montgomery,2.215,1207.33,3163.85,"Silver Spring, MD 209023686
(39.040070000130584, -77.04648000015175)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Montgomery,2.212,1206.00,3160.00,"Germantown, MD 208742419
(39.166079999692386, -77.2739700003151)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Montgomery,9.449999999999999,3100.00,13500.00,"Takoma Park, MD 209125837
(38.98305999981932, -77.00145000011725)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Prince George's,2.527,1266.20,3610.00,"Mount Rainier, MD 207121609
(38.943649999947695, -76.96571000041604)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Anne Arundel,2.8,1500.00,4000.00,"Davidsonville, MD 210351354
(38.93626999956098, -76.633130000449)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Montgomery,3.78,1990.00,5400.00,"Derwood, MD 208552728
(39.13114999957298, -77.14598999983849)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Montgomery,3.465,1592.50,4950.00,"Silver Spring, MD 209055101
(39.106229999714856, -76.99006999963063)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Montgomery,6.741,2724.90,9630.52,"Rockville, MD 208506682
(39.09460000028997, -77.17314999957267)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Howard,1.883,941.50,2690.00,"Columbia, MD 210462022
(39.17356999975584, -76.84446000002885)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Montgomery,4.62,2165.00,6600.00,"Silver Spring, MD 209012037
(39.01626999976082, -77.00851000013625)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Montgomery,1.51,608.38,2156.64,"Gaithersburg, MD 208794562
(39.166600000289975, -77.18422000015272)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Montgomery,1.295,747.50,1850.00,"Silver Spring, MD 209014267
(39.01626999976082, -77.00851000013625)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Prince George's,2.645,1282.24,3777.89,"Fort Washington, MD 207742148
(38.886099999915245, -76.8031400002107)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Baltimore,6.158,2635.35,8797.00,"Pikesville, MD 212081913
(39.376229999714894, -76.72952999970954)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Carroll,3.302,1533.25,4717.00,"Westminster, MD 211578308
(39.55741999973338, -76.98679999991992)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Montgomery,2.624,1376.86,3748.20,"Gaithersburg, MD 208785682
(39.11773000033941, -77.2342899996836)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Caroline,1.82,975.19,2600.55,"Ridgely, MD 216601819
(38.95099000028847, -75.88124999978749)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Montgomery,1.68,940.00,2400.00,"Potomac, MD 208545508
(39.03795000039236, -77.19766000030859)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Howard,1.34,645.22,1914.00,"Elkridge, MD 210756235
(39.19726000044881, -76.75575999972403)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Baltimore,7.001,3100.00,10002.00,"Cockeysville, MD 210303025
(39.4753900003484, -76.63367999973207)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Montgomery,4.441,2180.33,6343.78,"Silver Spring, MD 209011114
(39.01626999976082, -77.00851000013625)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Montgomery,2.257,1228.54,3224.40,"Kensington, MD 208954234
(39.02898999998865, -77.07798999993838)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Anne Arundel,3.497,1708.25,4995.00,"Edgewater, MD 210371102
(38.92135999996418, -76.54055999974406)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Montgomery,3.433,1816.40,4904.00,"Gaithersburg, MD 208224317
(39.13986000013904, -77.19382000039258)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Montgomery,2.141,1035.38,3058.38,"North Potomac, MD 208784711
(39.11773000033941, -77.2342899996836)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Montgomery,1.135,667.35,1621.00,"Gaithersburg, MD 208782049
(39.11773000033941, -77.2342899996836)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Montgomery,1.75,931.25,2500.00,"Silver Spring, MD 209022367
(39.040070000130584, -77.04648000015175)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Baltimore,1.293,710.91,1847.30,"Baltimore, MD 212074934
(39.32404000044585, -76.71700000014971)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Montgomery,4.617,2305.00,6595.00,"Burtonsville, MD 208661374
(39.100279999622444, -76.93384999977752)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Anne Arundel,1.826,890.37,2608.19,"Annapolis, MD 214033316
(38.95672000012809, -76.48971000021618)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Baltimore City,4.912,1370.85,7017.00,"Baltimore, MD 212014406
(39.29392999956997, -76.61998999973855)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Montgomery,2.835,1447.50,4050.00,"Potomac, MD 208542586
(39.03795000039236, -77.19766000030859)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Howard,5.464,2690.95,7805.00,"West Friendship, MD 217949617
(39.296679999582466, -76.97353999997085)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Baltimore,3.195,1557.40,4564.00,"Glencoe, MD 211529353
(39.533359999964205, -76.65988999972353)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Prince George's,1.831,980.00,2615.00,"University Park, MD 207821140
(38.9645499996829, -76.96469999970509)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Montgomery,2.246,1188.08,3208.80,"Chevy Chase, MD 208153166
(38.97726999991073, -77.0824299996446)"
